公益西桥:公益西桥 0.0, 角门西 0.004972746666595071, 草桥 0.005889762060678487, 角门东 0.006183760139046286, 朱辛庄 0.009127409809479245, 纪家庙 0.009400282474288096, 丰台南路 0.009623872975502495, 育知路 0.01023972326423722, 大红门 0.01203472039425465, 首经贸 0.012283404635851512
天通苑北:天通苑北 0.0, 天通苑 0.006256522715254545, 六道口 0.00858197605197717, 善各庄 0.008946085489518337, 清华东路西口 0.010429091728964291, 来广营 0.016484908726672298, 北岗子 0.02281914913111662, 大井 0.03131349237403235, 北沙滩 0.03255740687514321, 郭庄子 0.03715248340638109
天通苑:天通苑 0.0, 天通苑北 0.004194455215660175, 来广营 0.008977031666415322, 六道口 0.010403520159084214, 善各庄 0.011076006603752001, 北沙滩 0.01553801338967255, 天通苑南 0.020355758144809, 清华东路西口 0.022577378912693995, 酒仙桥 0.02294254441739972, 大井 0.025297687723952335
天通苑南:天通苑南 0.0, 东湖渠 0.009583161051218711, 北沙滩 0.01104917949171814, 天通苑 0.01687617493175554, 四惠东 0.019559673700746072, 丰台站 0.020246077684950285, 来广营 0.022347158084150213, 林萃桥 0.02238865303130716, 永泰庄 0.023264412211040714, 酒仙桥 0.023357325698665894
立水桥:立水桥 0.0, 四惠 0.003479379082868336, 立水桥南 0.004443499577557332, 安立路 0.006785820925055646, 阜通 0.007429207803992015, 四惠东 0.008107891836793122, 海淀五路居 0.009280909677873168, 望京 0.010494821341836533, 车道沟 0.0106911236957407, 枣营 0.01073451748719105
立水桥南:立水桥南 0.0, 立水桥 0.004454789878389851, 安立路 0.005150784658938573, 劲松 0.006929768824467321, 北苑路北 0.006936890713109226, 四惠 0.008595046052852922, 九龙山 0.008865929234467643, 阜通 0.009744804183883226, 平乐园 0.009941725802300636, 慈寿寺 0.009973748469003507
北苑路北:北苑路北 0.0, 公主坟 0.003163076404983314, 西钓鱼台 0.0038084750779651655, 六里桥东 0.0038909771914831088, 劲松 0.004458631112735277, 天坛东门 0.005211617462002964, 立水桥南 0.005242414266527442, 莲花桥 0.005498998671127033, 北苑 0.006702059247637915, 陶然亭 0.00675128136026579
大屯路东:大屯路东 0.0, 广渠门外 0.0022066967264512036, 双井 0.002520381345313898, 公主坟 0.0040700047304422955, 关庄 0.004241990180750689, 北京西站 0.004493588078841481, 西钓鱼台 0.004649131644092452, 天坛东门 0.004848824981459371, 六里桥东 0.005701370826620358, 北苑路北 0.005742062470895641
惠新西街北口:惠新西街北口 0.0, 军事博物馆 0.0015652042811719856, 磁器口 0.001588225635181655, 广渠门内 0.0017931325342091073, 关庄 0.0033229147796436497, 望京西 0.0033402227862877366, 木樨地 0.003354133623307093, 白堆子 0.0040266510689459, 桥湾 0.005350315913756535, 北京西站 0.005652303675940113
惠新西街南口:惠新西街南口 0.0, 芍药居 0.0010929128587752576, 安贞门 0.0028477558936055814, 永安里 0.0030771797209115477, 太阳宫 0.003408412974890477, 光熙门 0.004556380395594093, 和平西桥 0.005103907167506047, 木樨地 0.005558581724956943, 崇文门 0.00570209452187069, 西坝河 0.005842475996275052
和平西桥:和平西桥 0.0, 安贞桥 0.001137359669839546, 光熙门 0.0015682603725022115, 东大桥 0.002234179487766724, 永安里 0.0022402998450353293, 柳芳 0.0028186351089525266, 安华桥 0.0028486177104647976, 和平里北街 0.0028613286767702473, 北京站 0.00315186153784568, 崇文门 0.003337261545454104
和平里北街:和平里北街 0.0, 安贞桥 0.0013348746116513413, 和平西桥 0.0017882008822972563, 柳芳 0.0018095520369509881, 东直门 0.002318923805589416, 安华桥 0.0024754673638614083, 东大桥 0.0026318993416410727, 安德里北街 0.002859364917690806, 雍和宫 0.003199067616697103, 北新桥 0.003528456480831903
北新桥:北新桥 0.0, 雍和宫 0.0010834993111012619, 张自忠路 0.0012962280337553665, 东直门 0.001589469595273463, 安定门 0.0022327265728921642, 和平里北街 0.0023202108443266777, 安德里北街 0.0023433428031030138, 灯市口 0.0033943864568283175, 柳芳 0.004235230446816273, 东单 0.004487923727262489
张自忠路:张自忠路 0.0, 北新桥 0.0007283274359847448, 安定门 0.0013471611586757756, 东直门 0.001571565760388775, 雍和宫 0.0016021500442817702, 安德里北街 0.0018761391381958703, 灯市口 0.001971585214009428, 鼓楼大街 0.002445356398476638, 东四十条 0.0029309877220480966, 什刹海 0.003009171929801176
东四:东四 0.0, 东四十条 0.0010929046184387677, 鼓楼大街 0.0011991043605391414, 南锣鼓巷 0.0014760431992166451, 朝阳门 0.0015433548080746786, 什刹海 0.0015647791818179206, 灯市口 0.0023143248899589845, 张自忠路 0.002437773203098262, 积水潭 0.002529023357618658, 安定门 0.0026124736847814656
灯市口:灯市口 0.0, 安德里北街 0.00137816895473542, 东直门 0.0015972571510578662, 东单 0.0021199748947868923, 建国门 0.002196218410688869, 张自忠路 0.00223137431380135, 东四十条 0.0026107860665607018, 东大桥 0.002611978233764165, 鼓楼大街 0.002982329285080784, 雍和宫 0.0030056567723532176
磁器口:磁器口 0.0, 惠新西街北口 0.0007716152325143021, 广渠门内 0.0013893826342671282, 军事博物馆 0.0020586223513462077, 木樨地 0.0030802873158382853, 桥湾 0.0030938914219328325, 白堆子 0.00362068905098027, 望京西 0.004053177286716029, 关庄 0.004404739153206832, 国贸 0.004638488644789534
天坛东门:天坛东门 0.0, 西钓鱼台 0.0017399489030522782, 公主坟 0.0020178605960260217, 六里桥东 0.002823519027827568, 陶然亭 0.002938599671103903, 莲花桥 0.0029642809135853026, 北苑路北 0.0030451816261882077, 双井 0.003148180108454077, 劲松 0.004389926714521353, 大屯路东 0.004968007654017202
蒲黄榆:蒲黄榆 0.0, 潘家园 0.0014934527797668404, 方庄 0.0019026238409249627, 平乐园 0.001977999052983623, 北工大西门 0.002071931352524461, 景泰 0.002155651618973754, 十里河 0.0033761474243058074, 陶然桥 0.003558125432620375, 北京南站 0.0036497561381142966, 南八里庄 0.0036771148148918714
刘家窑:刘家窑 0.0, 分钟寺 0.0022644580637896875, 育新 0.0034366567112134425, 成寿寺 0.0036072790897331572, 宋家庄 0.004699661717212042, 南八里庄 0.005598047631117181, 西局 0.0057308016397245335, 泥洼 0.0058554095921770875, 永定门外 0.00601068803483972, 十里河 0.006016610278391189
宋家庄:宋家庄 0.0, 成寿寺 0.0018950619949598413, 石榴庄 0.00488724333988962, 刘家窑 0.006751695022361205, 育新 0.007039115016722125, 回龙观东大街 0.007073163220580912, 分钟寺 0.007305944272481863, 泥洼 0.007773395549557423, 七里庄 0.008581299382656355, 西小口 0.00862038733740175
海淀五路居:海淀五路居 0.0, 四季青 0.002883038576548233, 远大路 0.003266564139026115, 火器营 0.00436636018838415, 车道沟 0.0045335431641359576, 长春桥 0.0046267398949461965, 北京南站 0.0051515861173881345, 中关村 0.005348853322416722, 奥林匹克公园 0.006171973845683675, 巴沟 0.006194828564521149
慈寿寺:慈寿寺 0.0, 安立路 0.0012196593640195364, 朝阳公园 0.003958455406855558, 车道沟 0.004571863299187516, 阜通 0.004619798063327984, 枣营 0.0052578452343625655, 望京南 0.0059875825132854575, 立水桥南 0.00611730650386887, 陶然亭 0.006394109555100059, 九龙山 0.006704976976047659
花园桥:花园桥 0.0, 金台路 0.0024648101729735326, 红庙 0.00267105692127651, 虎坊桥 0.0028883443142316834, 珠市口 0.0028920944058117293, 芳园里 0.0029585089876661805, 大望路 0.0034939271901038953, 双井 0.003658248617740379, 陶然亭 0.004001363224973044, 朝阳公园 0.0048188128541249535
白石桥南:白石桥南 0.0, 白堆子 0.001695014289335029, 木樨地 0.002278667407766463, 金台夕照 0.002386385066027347, 国家图书馆 0.0023865303653123164, 南礼士路 0.0024027948827990146, 团结湖 0.002522582499790701, 三元桥 0.002851238154336571, 磁器口 0.003125334125971234, 魏公村 0.0034403057160963487
车公庄西:车公庄西 0.0, 动物园 0.0014715060320497578, 国家图书馆 0.0026340271872111977, 白石桥南 0.0035376746225057563, 惠新西街南口 0.0037966876177870576, 永安里 0.0038032305893307104, 安贞门 0.004309240407882952, 光熙门 0.004382130174498133, 太阳宫 0.00438667986269084, 南礼士路 0.00482773951697762
北海北:北海北 0.0, 灯市口 0.002726176092017585, 张自忠路 0.0027871871410828806, 鼓楼大街 0.0028186417425705586, 北新桥 0.0036020707745623107, 安定门 0.0036821305356567716, 东四十条 0.004046875814042829, 南锣鼓巷 0.004185078706870684, 安德里北街 0.004197133850438961, 积水潭 0.00420036052572538
南锣鼓巷:南锣鼓巷 0.0, 东四 0.0007713192198941332, 鼓楼大街 0.0008917057433902734, 什刹海 0.0009406212775410153, 安定门 0.0016445611344731385, 东四十条 0.0017894271359719504, 张自忠路 0.0021758311213433586, 积水潭 0.0027896587726370338, 灯市口 0.002814765283665595, 朝阳门 0.002875115726150382
东大桥:东大桥 0.0, 和平西桥 0.0010926897124619184, 安贞桥 0.0018485226333820326, 北京站 0.0020185534001946727, 光熙门 0.0020623329221219136, 柳芳 0.002075519188144465, 建国门 0.002132562157126713, 安华桥 0.002184942790039275, 东单 0.002425575689812663, 和平里北街 0.0025902381248529846
呼家楼:呼家楼 0.0, 北土城 0.0013196645834230307, 西坝河 0.0015218315153926942, 团结湖 0.0015386918827440842, 三元桥 0.0016852346238165517, 知春路 0.0020550793164554235, 金台夕照 0.0022145388938062723, 南礼士路 0.0023212704475762064, 亮马桥 0.002567782062930691, 农业展览馆 0.0026140187454324225
金台路:金台路 0.0, 芳园里 0.0025570216445519604, 花园桥 0.0035718441309474224, 红庙 0.0036347690100111993, 虎坊桥 0.0040799076025187985, 朝阳公园 0.00480742397274689, 珠市口 0.005018004176018309, 奥体中心 0.005093627338430504, 广安门内 0.005988681666379566, 大望路 0.006462372639745922
