0-HSD-multi: h:0.452548412927717, c:0.6232256952174642, v:0.5243476248981701, s:0.3054404914536564, a:0.703125, M:0.655631423228293, m:0.703125
8-HSD-single: h:0.36100530595693003, c:0.6009136942360449, v:0.45104220209367435, s:0.11124642384447281, a:0.796875, M:0.7079594080605266, m:0.796875

8-graphwave: h:0.3434214355814323, c:0.7262865794376578, v:0.46633731121395255, s:0.11963543993712944, a:0.7708333333333334, M:0.7133640129770161, m:0.7708333333333333

9-HSD-multi: h:0.39122010494201914, c:0.5874517134020851, v:0.4696628975265459, s:0.0849297249356304, a:0.7291666666666666, M:0.6203052285335942, m:0.7291666666666665

9-HSD-single: h:0.4966500005505431, c:0.6860302569772133, v:0.576177585339334, s:0.12237750448127079, a:0.8125, M:0.7044909231069233, m:0.8125

9-graphwave: h:0.3347216993492453, c:0.6820939469533663, v:0.44907185657549875, s:0.04895821596693964, a:0.75, M:0.6732247284878864, m:0.75

--------------------------------------------------------------------------------
0-HSD-multi: h:0.4308515232313283, c:0.6239941879265003, v:0.5097406066343717, s:0.2686218396683791, a:0.7395833333333334, M:0.6610441411499762, m:0.7395833333333334

0-HSD-single: h:0.4738241383455916, c:0.6153495809654299, v:0.5353920679736975, s:0.2305879589035809, a:0.8020833333333334, M:0.7318130896508527, m:0.8020833333333334

0-graphwave: h:0.3514174578224895, c:0.7292845684542812, v:0.4742904572101541, s:0.15419154751552916, a:0.7395833333333334, M:0.7021049333759658, m:0.7395833333333334

1-HSD-multi: h:0.45678971813858593, c:0.6182470024071735, v:0.5253939118028063, s:0.06843924274567288, a:0.7864583333333334, M:0.6930507693645572, m:0.7864583333333334

1-HSD-single: h:0.4465507802222192, c:0.7053028088069385, v:0.5468638072849525, s:0.024656601413977602, a:0.796875, M:0.7072339613065278, m:0.796875

1-graphwave: h:0.33768519741318265, c:0.6677449712973544, v:0.4485395395353904, s:0.1784117801657306, a:0.8020833333333334, M:0.7398240734277487, m:0.8020833333333334

2-HSD-multi: h:0.4375135290548309, c:0.6368870501100239, v:0.518701695264448, s:0.217192170732025, a:0.78125, M:0.697481877416088, m:0.78125

2-HSD-single: h:0.42536315288122545, c:0.6394968364718324, v:0.5108998240876519, s:0.05209439473550354, a:0.8385416666666666, M:0.7820475860374807, m:0.8385416666666666

2-graphwave: h:0.19461813251143634, c:0.6953423747625223, v:0.3041173924601838, s:-0.010902317754932367, a:0.7864583333333334, M:0.721025239304289, m:0.7864583333333334

3-HSD-multi: h:0.3801592726922498, c:0.5839097928360633, v:0.4605037752991171, s:0.05018525465406463, a:0.7447916666666666, M:0.6610520912644043, m:0.7447916666666666

3-HSD-single: h:0.47293487139761775, c:0.6804710868459851, v:0.5580316343039631, s:0.14370069618173265, a:0.78125, M:0.7113720519382244, m:0.78125

3-graphwave: h:0.20154208115705163, c:0.7159948673805407, v:0.3145444897878772, s:0.12827557658672478, a:0.7916666666666666, M:0.7465911272199376, m:0.7916666666666666

4-HSD-multi: h:0.5143774203039879, c:0.6947529831354134, v:0.5911111757626136, s:0.19186016603351744, a:0.7552083333333334, M:0.6014032560705788, m:0.7552083333333334

4-HSD-single: h:0.5303796161039357, c:0.66476406836048, v:0.5900166079775147, s:0.13708740717511322, a:0.8125, M:0.6925147637873152, m:0.8125

