7-graphwave, h:0.35975544351890415, c:0.6414991586196119, v:0.4609872730338278, s:0.20770953455264682, a:0.8020833333333334, M:0.795028126674275, m:0.8020833333333334
7-struc2vec, h:0.4683051702250349, c:0.5766523191695057, v:0.5168617196969532, s:0.37978121638298035, a:0.6145833333333334, M:0.5393324561845508, m:0.6145833333333334
7-node2vec, h:0.1494431850197357, c:0.31634960208552976, v:0.20299280462968405, s:0.007959973998367786, a:0.3697916666666667, M:0.16810449865213556, m:0.3697916666666667
8-HSD-multi, h:0.5213288324783906, c:0.6877074584057039, v:0.5930702478999401, s:0.24795091905673816, a:0.8125, M:0.7372055659971727, m:0.8125
8-HSD-single, h:0.4603853900208544, c:0.6829679634692827, v:0.5500110202567692, s:0.24470689210823324, a:0.8541666666666666, M:0.7948865405061551, m:0.8541666666666666
8-graphwave, h:0.34329046501172367, c:0.71540430620223, v:0.4639514308093641, s:0.26079657094020353, a:0.828125, M:0.7940545476802005, m:0.828125
8-struc2vec, h:0.5096974691932631, c:0.5926684402218968, v:0.5480604969217225, s:0.4700327217578888, a:0.609375, M:0.5446947719082347, m:0.609375
8-node2vec, h:0.16299068002046588, c:0.22459828349345873, v:0.18889819063030702, s:0.10661733895540237, a:0.2708333333333333, M:0.1519574828501748, m:0.2708333333333333
9-HSD-multi, h:0.4993814862528461, c:0.6282621836588184, v:0.5564568159311828, s:0.23165805063652675, a:0.7916666666666666, M:0.7242192925899533, m:0.7916666666666666
9-HSD-single, h:0.4189280827299473, c:0.6696928530448577, v:0.5154285274595649, s:0.1945195822625032, a:0.8385416666666666, M:0.7973135893951855, m:0.8385416666666666
9-graphwave, h:0.16910695931689076, c:0.6834796547134885, v:0.2711306142074571, s:0.2094689536734462, a:0.8385416666666666, M:0.7979191210846188, m:0.8385416666666666
9-struc2vec, h:0.5232720218263538, c:0.6203423047785946, v:0.5676874878082012, s:0.4425891935825348, a:0.5625, M:0.5382630903694469, m:0.5625
9-node2vec, h:0.17191756908608266, c:0.29399719828335724, v:0.21696364737422583, s:0.07313372939825058, a:0.2760416666666667, M:0.13204684027066493, m:0.2760416666666667
0-HSD-multi, h:0.473463742640238, c:0.6031373096996738, v:0.5304911180529142, s:0.10132110542433986, a:0.8541666666666666, M:0.7850809476332906, m:0.8541666666666666
0-HSD-single, h:0.5498405473053201, c:0.6647148494924391, v:0.601845214488401, s:0.21149268254267287, a:0.8645833333333334, M:0.816485811876958, m:0.8645833333333333
0-graphwave, h:0.3482616856379478, c:0.6621506941383825, v:0.4564506957803058, s:0.16850171786090803, a:0.859375, M:0.8188088910102946, m:0.859375
0-struc2vec, h:0.4999576207214872, c:0.5864080572435691, v:0.5397430773412832, s:0.44961288571357727, a:0.6458333333333334, M:0.5544832032726383, m:0.6458333333333334
0-node2vec, h:0.1631556722318047, c:0.2919544987984939, v:0.20932967683289452, s:0.0628308653831482, a:0.2708333333333333, M:0.1388012095356789, m:0.2708333333333333
1-HSD-multi, h:0.37126052023722256, c:0.6266259475080003, v:0.46626842388519085, s:0.14179538389457294, a:0.75, M:0.6256938132433548, m:0.75
1-HSD-single, h:0.46734471390877613, c:0.6783422306081522, v:0.5534141018417161, s:0.2392743031972767, a:0.796875, M:0.6517981221869171, m:0.796875
1-graphwave, h:0.19275799769568228, c:0.653163941711913, v:0.29766948392325204, s:0.2170132398035245, a:0.7864583333333334, M:0.7061585179401271, m:0.7864583333333334
